4th Hour?,Date,Title,Description,To do before class,To do during class,To do,Notes
FALSE,Nov 5,Chromatic Harmony,,,Discuss even spicier harmonies,,
FALSE,Nov 10,Modes,,Brain training: intervals and more dictation https://www.artusimusic.com/assignments/41323/artusi_artusi-aural-skills-i_any_ps006/,Discuss the Greek modes beyond major and minor,,
TRUE,Nov 11,Lab: Mode Identification,,,,Identify modes by listening,
FALSE,Nov 12,Orchestration & Transposition,,,"Discuss instruments and families of the orchestra, Explore transposing instruments",,
FALSE,Nov 17,Arranging,,Brain training: more intervals and dictation https://www.artusimusic.com/assignments/41325/artusi_artusi-aural-skills-i_any_ps008/,Talk about the challenges of arranging music,,
TRUE,Nov 18,Lab: Instrument Recognition,,,,Identify instruments by listening,
FALSE,Nov 19,Composition,,Turn in: arranging project,Talk about your arrangements,,
FALSE,Nov 24,NO CLASS (Thanksgiving break),,,,,
FALSE,Nov 25,NO CLASS (Thanksgiving break),,,,,
FALSE,Nov 26,NO CLASS (Thanksgiving break),,,,,
FALSE,Dec 1,Fractal Symmetry,,Brain training: harmony dictation and rhythm subdivision https://www.artusimusic.com/assignments/42824/artusi_artusi-aural-skills-i_any_ps009/,"Discuss how different aspects of the composition come together to tell the same story, Discuss vocabulary to prepare for the challenge",,
TRUE,Dec 2,"Lab: Dictation, Analysis",,,,Somewhat open-topic—we'll do dictation of some sort,
FALSE,Dec 3,Weird Stuff,,Complete: vocab challenge,Discuss weird stuff (this is open-topic),,
FALSE,Dec 8,More Weird Stuff,,Brain training: hearing scale degrees and inversions https://www.artusimusic.com/assignments/89154/artusi_artusi-aural-skills-i_any_chapter012/,Discuss weird stuff (this is open-topic),,
TRUE,Dec 9,Lab: Experimentalism,,,,Open-topic but with a focus on experimentalism and avant-garde music,
FALSE,Dec 10,Open Topic,,Turn in: final composition project,Open-topic,,
TRUE,Dec 18,1:30–4:30pm Full Song Analysis Challenge,,,,"I'll play a recording and lyrics and ask you to identify form, Then I'll give you the form and ask you to identify the structure, Then I'll give you the structure and ask you to identify the chords, Then I'll give you the chords and ask you to identify the melody, Then I'll give you the melody and ask you to analyze the internal meaning of the song (using specific music vocabulary learned in this class), Then I'll give you the sheet music and ask you to identify every part of the printed score","Nature boy (start by giving lyrics, ask for form. then give form, ask for phrases. then give phrases and ask for chords. then give chords, then ask for melody, then give melody and ask a bunch of why questions. Then give them the full score and ask them to identify every part. As part of the analysis, ask the to use the appropriate vocabulary in their analysis)"
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
